pond_id,area_m2,area_mu,bnd_n,h05,h50,h75,h95,hmean,v05_m3,v50_m3,v75_m3,v95_m3,vmean_m3,dem_min,dem_mean,dem_max,qa
12128,3300.0,4.95,81,42.0,43.0,43.0,44.0,43.026,0.0,650.0,650.0,4500.0,750.1,42.0,42.977,45.0,OK
12133,9900.0,14.85,121,10.0,11.0,11.0,11.0,10.504,0.0,6275.0,6275.0,6275.0,3162.6,10.0,10.451,11.0,OK
12134,41300.0,61.95,369,23.0,26.0,26.0,27.0,25.269,2000.0,47200.0,47200.0,87050.0,29089.475,21.0,25.106,28.0,OK
12149,29600.0,44.4,350,12.0,13.0,15.0,16.0,13.619,0.0,9225.0,56825.0,87375.0,21249.075,12.0,13.432,17.0,OK
12155,600.0,0.9,29,45.0,47.0,47.0,47.6,46.296,0.0,600.0,600.0,1170.0,283.2,45.0,46.41,48.0,OK
12181,8800.0,13.2,109,11.0,12.0,12.0,13.0,12.018,0.0,475.0,475.0,10275.0,651.4,11.0,11.99,13.0,OK
12182,4000.0,6.0,69,11.0,11.0,12.0,12.0,11.42,0.0,0.0,1575.0,1575.0,661.5,11.0,11.677,12.0,OK
12186,800.0,1.2,25,19.2,20.0,20.0,21.0,20.217,10.0,50.0,50.0,950.0,245.3,19.0,20.156,21.0,OK
12196,900.0,1.35,41,17.0,17.0,17.0,18.0,17.077,100.0,100.0,100.0,1450.0,203.95,16.0,16.982,18.0,OK
12201,14300.0,21.45,229,19.0,20.0,21.0,22.0,20.46,200.0,1925.0,12125.0,27125.0,6617.0,18.0,20.421,22.0,OK
12212,10100.0,15.15,137,18.0,19.0,20.0,21.0,19.144,175.0,5025.0,15050.0,25875.0,6468.6,17.0,18.812,21.0,OK
12281,1200.0,1.8,45,19.0,21.0,21.0,22.8,20.643,0.0,625.0,625.0,3460.0,464.35,19.0,20.859,23.0,OK
12301,1100.0,1.65,29,14.0,15.0,15.0,15.6,14.778,0.0,300.0,300.0,1095.0,233.4,14.0,14.898,16.0,OK
12305,4700.0,7.05,69,16.0,17.0,17.0,17.0,16.866,0.0,700.0,700.0,700.0,606.2,16.0,16.879,18.0,OK
12364,2700.0,4.05,77,17.0,17.0,18.0,18.0,17.273,0.0,0.0,2650.0,2650.0,723.45,17.0,17.279,18.0,OK
12391,27600.0,41.4,370,19.0,23.5,25.0,27.0,23.131,275.0,28275.0,48450.0,107125.0,23957.7,18.0,23.685,28.0,OK
12397,1300.0,1.95,41,17.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,OK
12408,600.0,0.9,25,18.0,19.0,19.0,20.0,18.96,0.0,150.0,150.0,975.0,144.0,18.0,18.946,20.0,OK
